,country,date,confirmed,deaths,recovered,region,climate
0,Afghanistan,2020-08-12,37345,1354,26694,Asia & Pacific,nontropic
1,Albania,2020-08-12,6817,208,3552,Europe,nontropic
2,Algeria,2020-08-12,36699,1333,25627,Arab States,nontropic
3,Andorra,2020-08-12,977,53,855,Europe,nontropic
4,Angola,2020-08-12,1762,80,577,Africa,tropic
5,Argentina,2020-08-12,268574,5213,187283,South/Latin America,nontropic
6,Armenia,2020-08-12,40794,806,33492,Europe,nontropic
7,Australia,2020-08-12,22358,361,12779,Asia & Pacific,nontropic
8,Austria,2020-08-12,22439,724,20268,Europe,nontropic
9,Azerbaijan,2020-08-12,33824,497,31058,Asia & Pacific,nontropic
10,Bahamas,2020-08-12,1036,15,122,South/Latin America,tropic
11,Bahrain,2020-08-12,45264,166,41836,Arab States,nontropic
12,Bangladesh,2020-08-12,266498,3513,153089,Asia & Pacific,nontropic
13,Barbados,2020-08-12,144,7,115,South/Latin America,tropic
14,Belarus,2020-08-12,69102,595,65893,Europe,nontropic
15,Belgium,2020-08-12,75647,9900,17883,Europe,nontropic
16,Belize,2020-08-12,210,2,32,South/Latin America,tropic
17,Benin,2020-08-12,2014,38,1681,Africa,tropic
18,Bhutan,2020-08-12,113,0,97,Asia & Pacific,nontropic
19,Bolivia,2020-08-12,95071,3827,32830,South/Latin America,tropic
20,Bosnia and Herzegovina,2020-08-12,14961,453,8827,Europe,nontropic
21,Botswana,2020-08-12,1066,2,80,Africa,nontropic
22,Brazil,2020-08-12,3164785,104201,2506228,South/Latin America,tropic
23,Brunei,2020-08-12,142,3,138,Asia & Pacific,tropic
24,Bulgaria,2020-08-12,13893,482,8479,Europe,nontropic
25,Burkina Faso,2020-08-12,1213,54,995,Africa,tropic
26,Burma,2020-08-12,361,6,318,Asia & Pacific,tropic
27,Burundi,2020-08-12,409,1,315,Africa,tropic
28,Cambodia,2020-08-12,272,0,223,Asia & Pacific,tropic
29,Cameroon,2020-08-12,18263,401,15320,Africa,tropic
30,Canada,2020-08-12,122703,9052,108829,North America,nontropic
31,Cape Verde,2020-08-12,3000,33,2172,Africa,nontropic
32,Central African Republic,2020-08-12,4652,61,1728,Africa,tropic
33,Chad,2020-08-12,949,76,859,Africa,tropic
34,Chile,2020-08-12,378168,10205,351419,South/Latin America,nontropic
35,Colombia,2020-08-12,422519,13837,239785,South/Latin America,tropic
36,Comoros,2020-08-12,399,7,379,,
37,Congo,2020-08-12,13283,285,10046,Africa,tropic
38,Costa Rica,2020-08-12,25057,263,8189,South/Latin America,tropic
39,Croatia,2020-08-12,5870,160,5024,Europe,nontropic
40,Cuba,2020-08-12,3128,88,2504,South/Latin America,tropic
41,Cyprus,2020-08-12,1291,20,870,Europe,nontropic
42,Czech Republic,2020-08-12,19075,391,13407,Europe,nontropic
43,Denmark,2020-08-12,15423,621,13305,Europe,nontropic
44,Djibouti,2020-08-12,5358,59,5150,Arab States,tropic
45,Dominican Republic,2020-08-12,82224,1371,47095,South/Latin America,tropic
46,Ecuador,2020-08-12,97110,5984,78887,South/Latin America,tropic
47,Egypt,2020-08-12,95963,5085,55901,Middle east,nontropic
48,El Salvador,2020-08-12,21644,577,10056,South/Latin America,tropic
49,Equatorial Guinea,2020-08-12,4821,83,2182,Africa,tropic
50,Eritrea,2020-08-12,285,0,248,Africa,tropic
51,Estonia,2020-08-12,2174,69,1975,Europe,nontropic
52,Eswatini,2020-08-12,3525,63,1910,Africa,nontropic
53,Ethiopia,2020-08-12,25118,463,11034,Africa,tropic
54,Finland,2020-08-12,7642,333,7050,Europe,nontropic
55,France,2020-08-12,244088,30375,83609,Europe,nontropic
56,Gabon,2020-08-12,8077,51,5920,Africa,tropic
57,Gambia,2020-08-12,1477,33,247,Africa,tropic
58,Georgia,2020-08-12,1278,17,1058,Europe,nontropic
59,Germany,2020-08-12,220859,9213,198991,Europe,nontropic
60,Ghana,2020-08-12,41572,223,39320,Africa,nontropic
61,Greece,2020-08-12,6177,216,1374,Europe,nontropic
62,Guatemala,2020-08-12,59089,2267,47394,South/Latin America,tropic
63,Guinea,2020-08-12,8116,50,7060,Africa,tropic
64,Guinea-Bissau,2020-08-12,2088,29,1015,Africa,tropic
65,Guyana,2020-08-12,623,22,191,South/Latin America,tropic
66,Haiti,2020-08-12,7743,187,5123,South/Latin America,tropic
67,Honduras,2020-08-12,48657,1533,6945,South/Latin America,tropic
68,Hong Kong,2020-08-12,4243,63,3189,Asia & Pacific,nontropic
69,Hungary,2020-08-12,4768,605,3529,Europe,nontropic
70,Iceland,2020-08-12,1972,10,1907,Europe,nontropic
71,India,2020-08-12,2396637,47033,1695982,Asia & Pacific,tropic
72,Indonesia,2020-08-12,130718,5903,85798,Asia & Pacific,tropic
73,Iran,2020-08-12,333699,18988,290244,Middle east,nontropic
74,Iraq,2020-08-12,160436,5588,114541,Middle east,nontropic
75,Ireland,2020-08-12,26838,1774,23364,Europe,nontropic
76,Israel,2020-08-12,88151,639,62109,Europe,nontropic
77,Italy,2020-08-12,251713,35225,202697,Europe,nontropic
78,Ivory Coast,2020-08-12,16847,105,13321,Africa,tropic
79,Jamaica,2020-08-12,1065,14,753,South/Latin America,tropic
80,Japan,2020-08-12,51288,1066,34969,Asia & Pacific,nontropic
81,Jordan,2020-08-12,1303,11,1215,Middle east,nontropic
82,Kazakhstan,2020-08-12,101372,1269,76756,Asia & Pacific,nontropic
83,Kenya,2020-08-12,28104,456,14610,Africa,tropic
84,Kosovo,2020-08-12,10419,341,6058,Europe,nontropic
85,Kuwait,2020-08-12,73785,489,65451,Middle east,nontropic
86,Kyrgyzstan,2020-08-12,40759,1484,32997,Asia & Pacific,nontropic
87,Latvia,2020-08-12,1303,32,1078,Europe,nontropic
88,Lebanon,2020-08-12,7413,89,2407,Middle east,nontropic
89,Lesotho,2020-08-12,798,24,175,,
90,Liberia,2020-08-12,1252,82,738,Africa,tropic
91,Libya,2020-08-12,6611,132,778,Middle east,nontropic
92,Lithuania,2020-08-12,2309,81,1683,Europe,nontropic
93,Luxembourg,2020-08-12,7300,122,6262,Europe,nontropic
94,Macedonia,2020-08-12,12217,530,8487,Europe,nontropic
95,Madagascar,2020-08-12,13397,156,11529,Africa,tropic
96,Mainland China,2020-08-12,84756,4634,79398,Asia & Pacific,nontropic
97,Malawi,2020-08-12,4752,152,2529,Africa,tropic
98,Malaysia,2020-08-12,9114,125,8817,Asia & Pacific,tropic
99,Maldives,2020-08-12,5366,21,2884,Asia & Pacific,nontropic
100,Mali,2020-08-12,2582,125,1977,Africa,tropic
101,Malta,2020-08-12,1190,9,695,Europe,nontropic
102,Mauritania,2020-08-12,6622,157,5741,Arab States,tropic
103,Mauritius,2020-08-12,344,10,334,Africa,tropic
104,Mexico,2020-08-12,498380,54666,401182,South/Latin America,tropic
105,Moldova,2020-08-12,28697,863,19998,Europe,nontropic
106,Monaco,2020-08-12,141,4,114,Europe,nontropic
107,Mongolia,2020-08-12,297,0,269,Asia & Pacific,nontropic
108,Montenegro,2020-08-12,3813,73,2638,Europe,nontropic
109,Morocco,2020-08-12,36694,556,25677,Arab States,nontropic
110,Mozambique,2020-08-12,2559,19,951,Africa,tropic
111,Namibia,2020-08-12,3406,22,835,Africa,nontropic
112,Nepal,2020-08-12,24432,91,16728,Asia & Pacific,nontropic
113,Netherlands,2020-08-12,61718,6182,322,Europe,nontropic
114,New Zealand,2020-08-12,1589,22,1531,Asia & Pacific,nontropic
115,Nicaragua,2020-08-12,4115,128,2913,South/Latin America,tropic
116,Niger,2020-08-12,1161,69,1075,Africa,tropic
117,Nigeria,2020-08-12,47743,956,33943,Africa,tropic
118,Norway,2020-08-12,9783,256,8857,Europe,nontropic
119,Oman,2020-08-12,82299,539,77072,Middle east,nontropic
120,Others,2020-08-12,721,15,651,,
121,Pakistan,2020-08-12,285921,6129,263193,Asia & Pacific,nontropic
122,Palestine,2020-08-12,15184,105,8369,Arab States,nontropic
123,Panama,2020-08-12,77377,1703,51597,South/Latin America,tropic
124,Papua New Guinea,2020-08-12,287,3,78,Asia & Pacific,nontropic
125,Paraguay,2020-08-12,8018,93,5384,South/Latin America,tropic
126,Peru,2020-08-12,489680,21501,341938,South/Latin America,tropic
127,Philippines,2020-08-12,143749,2404,68997,Asia & Pacific,tropic
128,Poland,2020-08-12,53676,1830,37611,Europe,nontropic
129,Portugal,2020-08-12,53223,1764,38940,Europe,nontropic
130,Qatar,2020-08-12,113938,190,110627,Middle east,nontropic
131,Romania,2020-08-12,65177,2807,31048,Europe,nontropic
132,Russia,2020-08-12,900745,15231,708900,Europe,nontropic
133,Rwanda,2020-08-12,2189,8,1524,Africa,tropic
134,San Marino,2020-08-12,699,42,657,Europe,nontropic
135,Sao Tome and Principe,2020-08-12,882,15,807,,
136,Saudi Arabia,2020-08-12,293037,3269,257269,Middle east,nontropic
137,Senegal,2020-08-12,11587,242,7523,Africa,tropic
138,Serbia,2020-08-12,28751,658,15564,Europe,nontropic
139,Seychelles,2020-08-12,127,0,126,Africa,tropic
140,Sierra Leone,2020-08-12,1937,69,1483,Africa,tropic
141,Singapore,2020-08-12,55395,27,50520,Asia & Pacific,tropic
142,Slovakia,2020-08-12,2690,31,1884,Europe,nontropic
143,Slovenia,2020-08-12,2303,129,1960,Europe,nontropic
144,Somalia,2020-08-12,3227,93,1728,Arab States,tropic
145,South Africa,2020-08-12,568919,11010,432029,Africa,nontropic
146,South Korea,2020-08-12,14770,305,13817,Asia & Pacific,nontropic
147,South Sudan,2020-08-12,2477,47,1175,,
148,Spain,2020-08-12,329784,28752,150376,Europe,nontropic
149,Sri Lanka,2020-08-12,2881,11,2638,Asia & Pacific,nontropic
150,Sudan,2020-08-12,12033,786,6282,Arab States,tropic
151,Suriname,2020-08-12,2653,39,1789,South/Latin America,tropic
152,Sweden,2020-08-12,83455,5774,4971,Europe,nontropic
153,Switzerland,2020-08-12,37169,1991,32700,Europe,nontropic
154,Syria,2020-08-12,1327,53,385,Asia & Pacific,nontropic
155,Taiwan,2020-08-12,481,7,450,Asia & Pacific,nontropic
156,Tajikistan,2020-08-12,7912,63,6696,,
157,Tanzania,2020-08-12,509,21,183,Africa,tropic
158,Thailand,2020-08-12,3356,58,3169,Asia & Pacific,tropic
159,Togo,2020-08-12,1092,26,782,Africa,tropic
160,Trinidad and Tobago,2020-08-12,326,8,139,South/Latin America,tropic
161,Tunisia,2020-08-12,1780,52,1278,Arab States,nontropic
162,Turkey,2020-08-12,244392,5891,227089,Europe,nontropic
163,UK,2020-08-12,315581,46791,1472,Europe,nontropic
164,US,2020-08-12,5197118,166026,1753760,North America,nontropic
165,Uganda,2020-08-12,1332,9,1139,Africa,tropic
166,Ukraine,2020-08-12,86504,1999,47084,Europe,nontropic
167,United Arab Emirates,2020-08-12,63212,358,57193,Middle east,nontropic
168,Uruguay,2020-08-12,1393,37,1163,South/Latin America,nontropic
169,Uzbekistan,2020-08-12,32654,211,25659,Asia & Pacific,nontropic
170,Venezuela,2020-08-12,29088,247,21042,South/Latin America,tropic
171,Vietnam,2020-08-12,883,18,451,Asia & Pacific,tropic
172,Yemen,2020-08-12,1841,528,937,,
173,Zambia,2020-08-12,8501,246,7233,Africa,tropic
174,Zimbabwe,2020-08-12,4893,122,1620,Africa,nontropic
